Date : 2022-09-13 14:56:12
Directory : /Users/xusun/Desktop/Flutter/offershow/lib
Total : 106 files,  -4236 codes, -459 comments, -920 blanks, all -5615 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Kotlin       |          1 |         -6 |        -15 |         -4 |        -25 |
| Properties   |          2 |         -8 |         -1 |         -2 |        -11 |
| Shell Script |          1 |        -10 |          0 |          0 |        -10 |
| Swift        |          4 |        -69 |         -5 |        -13 |        -87 |
| CMake        |          5 |        -75 |          0 |        -24 |        -99 |
| HTML         |          1 |        -80 |        -18 |         -7 |       -105 |
| Groovy       |          3 |        -99 |         -9 |        -24 |       -132 |
| JSON         |          4 |       -248 |          0 |         -2 |       -250 |
| YAML         |         12 |       -355 |        -74 |        -49 |       -478 |
| XML          |         10 |       -482 |        -39 |        -10 |       -531 |
| C++          |         26 |       -762 |       -169 |       -273 |     -1,204 |
| Markdown     |         15 |     -1,015 |          0 |       -295 |     -1,310 |
| Dart         |         22 |     -1,027 |       -129 |       -217 |     -1,373 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                              |        106 |     -4,236 |       -459 |       -920 |     -5,615 |
| ..                                                                                                                                                             |        106 |     -4,236 |       -459 |       -920 |     -5,615 |
| ../.workflow                                                                                                                                                   |          3 |       -113 |        -31 |         -3 |       -147 |
| ../android                                                                                                                                                     |         13 |       -191 |        -62 |        -37 |       -290 |
| ../android/app                                                                                                                                                 |          9 |       -146 |        -55 |        -26 |       -227 |
| ../android/app/src                                                                                                                                             |          8 |        -84 |        -52 |        -11 |       -147 |
| ../android/app/src/debug                                                                                                                                       |          1 |         -5 |         -4 |         -1 |        -10 |
| ../android/app/src/main                                                                                                                                        |          6 |        -71 |        -44 |         -9 |       -124 |
| ../android/app/src/main/kotlin                                                                                                                                 |          1 |         -6 |        -15 |         -4 |        -25 |
| ../android/app/src/main/kotlin/com                                                                                                                             |          1 |         -6 |        -15 |         -4 |        -25 |
| ../android/app/src/main/kotlin/com/example                                                                                                                     |          1 |         -6 |        -15 |         -4 |        -25 |
| ../android/app/src/main/kotlin/com/example/river_lite_2022                                                                                                     |          1 |         -6 |        -15 |         -4 |        -25 |
| ../android/app/src/main/res                                                                                                                                    |          4 |        -30 |        -23 |         -4 |        -57 |
| ../android/app/src/main/res/drawable                                                                                                                           |          1 |         -4 |         -7 |         -2 |        -13 |
| ../android/app/src/main/res/drawable-v21                                                                                                                       |          1 |         -4 |         -7 |         -2 |        -13 |
| ../android/app/src/main/res/values                                                                                                                             |          1 |        -11 |          0 |          0 |        -11 |
| ../android/app/src/main/res/values-night                                                                                                                       |          1 |        -11 |         -9 |          0 |        -20 |
| ../android/app/src/profile                                                                                                                                     |          1 |         -8 |         -4 |         -1 |        -13 |
| ../android/gradle                                                                                                                                              |          1 |         -5 |         -1 |         -1 |         -7 |
| ../android/gradle/wrapper                                                                                                                                      |          1 |         -5 |         -1 |         -1 |         -7 |
| ../ios                                                                                                                                                         |          7 |       -229 |         -3 |         -8 |       -240 |
| ../ios/Runner                                                                                                                                                  |          7 |       -229 |         -3 |         -8 |       -240 |
| ../ios/Runner/Assets.xcassets                                                                                                                                  |          3 |       -148 |          0 |         -3 |       -151 |
| ../ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                               |          1 |       -122 |          0 |          0 |       -122 |
| ../ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                             |          2 |        -26 |          0 |         -3 |        -29 |
| ../ios/Runner/Base.lproj                                                                                                                                       |          2 |        -61 |         -2 |         -2 |        -65 |
| ../linux                                                                                                                                                       |         59 |     -1,772 |       -233 |       -548 |     -2,553 |
| ../linux/flutter                                                                                                                                               |         59 |     -1,772 |       -233 |       -548 |     -2,553 |
| ../linux/flutter/ephemeral                                                                                                                                     |         56 |     -1,741 |       -224 |       -531 |     -2,496 |
| ../linux/flutter/ephemeral/.plugin_symlinks                                                                                                                    |         56 |     -1,741 |       -224 |       -531 |     -2,496 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux                                                                                                |         19 |       -509 |        -90 |       -165 |       -764 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example                                                                                        |          9 |       -217 |        -43 |        -66 |       -326 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/integration_test                                                                       |          1 |        -46 |         -5 |        -10 |        -61 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/lib                                                                                    |          1 |        -82 |        -10 |        -12 |       -104 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux                                                                                  |          4 |        -57 |        -20 |        -28 |       -105 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/linux/flutter                                                                          |          1 |        -12 |          0 |         -4 |        -16 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/example/test_driver                                                                            |          1 |         -2 |         -3 |         -3 |         -8 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib                                                                                            |          5 |       -121 |        -40 |        -34 |       -195 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src                                                                                        |          4 |       -120 |        -37 |        -32 |       -189 |
| ../linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test                                                                                           |          2 |        -98 |         -7 |        -23 |       -128 |
| ../linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux                                                                                                   |          5 |       -144 |         -8 |        -47 |       -199 |
| ../linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux/lib                                                                                               |          1 |        -38 |         -7 |         -8 |        -53 |
| ../linux/flutter/ephemeral/.plugin_symlinks/share_plus_linux/test                                                                                              |          1 |        -56 |         -1 |        -13 |        -70 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux                                                                                           |         14 |       -470 |        -57 |       -143 |       -670 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example                                                                                   |          9 |       -239 |        -32 |        -66 |       -337 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/integration_test                                                                  |          1 |        -86 |         -3 |        -13 |       -102 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/lib                                                                               |          1 |        -72 |         -4 |        -14 |        -90 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/linux                                                                             |          4 |        -55 |        -17 |        -27 |        -99 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/linux/flutter                                                                     |          1 |        -12 |          0 |         -4 |        -16 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/example/test_driver                                                                       |          1 |         -2 |         -3 |         -3 |         -8 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/lib                                                                                       |          1 |        -85 |        -17 |        -16 |       -118 |
| ../linux/flutter/ephemeral/.plugin_symlinks/shared_preferences_linux/test                                                                                      |          1 |        -79 |         -8 |        -24 |       -111 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux                                                                                                 |         18 |       -618 |        -69 |       -176 |       -863 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example                                                                                         |          9 |       -173 |        -33 |        -57 |       -263 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/integration_test                                                                        |          1 |        -11 |         -4 |         -6 |        -21 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/lib                                                                                     |          1 |        -80 |         -4 |        -12 |        -96 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/linux                                                                                   |          4 |        -56 |        -17 |        -27 |       -100 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/linux/flutter                                                                           |          1 |        -13 |          0 |         -4 |        -17 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/example/test_driver                                                                             |          1 |         -2 |         -3 |         -3 |         -8 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/lib                                                                                             |          1 |        -42 |         -5 |         -8 |        -55 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux                                                                                           |          4 |       -211 |        -26 |        -60 |       -297 |
| ../linux/flutter/ephemeral/.plugin_symlinks/url_launcher_linux/linux/include                                                                                   |          1 |        -17 |         -4 |        -11 |        -32 |
